
	LABEL		Offset 	 LEVEL 	 type
	_t0		2		1		0
	test_read_write_global		0		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t7		10		3		0
	_t6		9		3		0
	_t5		8		2		0
	_t4		7		2		0
	_t3		6		1		0
	_t2		5		1		0
	_t1		4		1		0
	j		3		1		0
	i		2		1		0
	test_while_loop		0		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t9		10		2		0
	_t8		9		2		0
	_t5		8		2		0
	_t4		7		2		0
	_t3		6		1		0
	_t2		5		1		0
	_t1		4		1		0
	j		3		1		0
	i		2		1		0
	test_while_loop		0		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t3		6		1		0
	_t2		5		1		0
	_t1		4		1		0
	j		3		1		0
	i		2		1		0
	test_while_loop		0		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t13		6		2		0
	_t12		5		2		0
	_t11		4		1		0
	_t10		3		1		0
	i		2		1		0
	test_read_write_array_global		0		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t18		9		2		0
	_t17		8		2		0
	_t16		7		2		0
	_t15		6		1		0
	_t14		5		1		0
	_t11		4		1		0
	_t10		3		1		0
	i		2		1		0
	test_read_write_array_global		0		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t15		6		1		0
	_t14		5		1		0
	_t11		4		1		0
	_t10		3		1		0
	i		2		1		0
	test_read_write_array_global		0		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t22		26		1		0
	_t21		25		1		0
	_t20		24		1		0
	_t19		23		1		0
	B		13		1		0
	C		3		1		0
	i		2		1		0
	test_double_array		0		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t26		19		1		0
	_t25		18		1		0
	_t24		17		1		0
	_t23		16		1		0
	B		6		1		0
	i		5		1		0
	b		4		1		0
	arr		3		1		0
	a		2		1		0
	test_array_passing		0		0		1
	test_double_array		27		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t27		2		1		0
	f		0		0		0
	test_array_passing		20		0		1
	test_double_array		27		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t31		6		1		0
	_t30		5		1		0
	_t29		4		1		0
	_t28		3		1		0
	a		2		1		0
	test_unary		0		0		1
	f		3		0		0
	test_array_passing		20		0		1
	test_double_array		27		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t37		10		2		0
	_t36		9		2		0
	_t35		8		2		0
	_t34		7		2		0
	_t33		6		1		0
	_t32		5		1		0
	j		4		1		0
	i		3		1		0
	c		2		1		0
	test_break_continue		0		0		0
	test_unary		7		0		1
	f		3		0		0
	test_array_passing		20		0		1
	test_double_array		27		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t33		6		1		0
	_t32		5		1		0
	j		4		1		0
	i		3		1		0
	c		2		1		0
	test_break_continue		0		0		0
	test_unary		7		0		1
	f		3		0		0
	test_array_passing		20		0		1
	test_double_array		27		0		1
	test_read_write_array_global		10		0		1
	test_while_loop		11		0		1
	test_read_write_global		3		0		1
	A		3		0		0
	z		2		0		0
	y		1		0		0
	x		0		0		0

	LABEL		Offset 	 LEVEL 	 type
	_t44		10		3		0
	_t43		9		3		0
	_t42		8		2		0
	_t41		7		2		0
